address;flats;entrances;floors
улица Генерала Перхоровича, 7;70;4;5
улица Генерала Перхоровича, 4;216;6;9
улица Генерала Перхоровича, 9;70;4;5
улица Генерала Перхоровича, 12;119;3;10
улица Генерала Перхоровича, 11;144;4;9
улица Генерала Перхоровича, 2;84;1;12
улица Генерала Перхоровича, 1а;84;1;12
улица Генерала Перхоровича, 6;144;4;9
улица Генерала Перхоровича, 5;100;6;5
бульвар Пионеров, 16;80;4;5
бульвар Пионеров, 22;80;4;5
бульвар Пионеров, 17-б;119;1;17
бульвар Пионеров, 26;70;4;5
бульвар Пионеров, 10-в;160;4;10
бульвар Пионеров, 8;80;4;5
бульвар Пионеров, 19-а;108;3;9
бульвар Пионеров, 5;74;4;5
бульвар Пионеров, 15;144;4;9
бульвар Пионеров, 1;74;4;5
бульвар Пионеров, 9;158;3;5
бульвар Пионеров, 11;146;3;5
бульвар Пионеров, 6;65;4;5
бульвар Пионеров, 21;74;4;5
бульвар Пионеров, 4;110;3;5
бульвар Пионеров, 27;72;4;5
бульвар Пионеров, 2;79;4;5
улица Космонавтов, 23в корп. 1;153;1;17
улица Космонавтов, 28;80;4;5
улица Космонавтов, 60;231;3;12
улица Космонавтов, 26;80;4;5
улица Космонавтов, 18;136;8;5
улица Космонавтов, 23-в;204;1;17
улица Космонавтов, 50;80;4;5
улица Космонавтов, 10;64;4;5
улица Космонавтов, 14;78;4;5
улица Космонавтов, 30;80;4;5
улица Космонавтов, 32;80;4;5
улица Космонавтов, 56;119;6;5
улица Космонавтов, 62;98;3;9
улица Космонавтов, 40;100;1;5
улица Космонавтов, 22-а;64;4;5
улица Космонавтов, 12;76;4;5
улица Космонавтов, 8;64;4;5
улица Космонавтов, 22;75;4;5
улица Кривошеина, 70;162;4;9
улица Кривошеина, 13/11;544;6;45
улица Кривошеина, 9;80;6;4
улица Кривошеина, 13/13;744;6;17
улица Кривошеина, 68;126;3;9
улица Кривошеина, 19;143;4;9
улица Кривошеина, 13/9;271;1;17
улица Кривошеина, 13/12;187;1;17
улица Кривошеина, 23;144;1;9
улица Кривошеина, 17;143;4;9
улица Кривошеина, 72;100;2;10
улица Кривошеина, 1;80;4;5
